,State Name,County,Congressional District,Zip Code,Energy Source,Agency,Year,Program Name,Total Number of Investments,Total Amount of Assistance,Description,State
92,Alabama,Franklin,AL-04,35582,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,9423.0,,AL
93,Alabama,Franklin,AL-04,35593,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,49075.0,,AL
94,Alabama,Franklin,AL-04,35653,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,104730.0,,AL
95,Alabama,Lamar,AL-04,35574,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,4355.0,,AL
96,Alabama,Lamar,AL-04,35592,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,23530.0,,AL
97,Alabama,Lawrence,AL-04,35643,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,21041.0,,AL
98,Alabama,Lawrence,AL-04,35672,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,10196.0,,AL
99,Alabama,Marion,AL-04,35570,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,92457.0,,AL
100,Alabama,Marshall,AL-04,35016,Biomass,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,19987.0,Pellets,AL
101,Alabama,Marshall,AL-04,35016,Biomass,RBS,2016,Energy Efficiency Improvement Grant (REAP),1,19987.0,Pellets,AL
102,Alabama,Tuscaloosa,AL-04,35475,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,84165.0,,AL
103,Alabama,Walker,AL-04,35501,Biomass,FSA,2010,BCAP Matching Payments (NOFA),7,474487.0,,AL
104,Alabama,Winston,AL-04,35553,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,129060.0,,AL
105,Alabama,Winston,AL-04,35575,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,6854.0,,AL
106,Alabama,Cullman,AL-04,35056,Solar,RBS,2015,Rural Energy for America Program (REAP),1,52750.0,Solar Electric,AL
107,Alabama,Cullman,AL-04,35057,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,AL
108,Alabama,Cullman,AL-04,35057,Solar,RBS,2019,Rural Energy for America Program (REAP),1,116538.0,Solar Electric,AL
109,Alabama,Cullman,AL-04,35058,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,7182.0,Solar Electric,AL
110,Alabama,Cullman,AL-04,35058,Solar,RBS,2018,Rural Energy for America Program (REAP),2,84999.0,Solar Electric,AL
111,Alabama,Cullman,AL-04,35058,Solar,RBS,2019,Energy Efficiency Improvement Grant (REAP),1,7182.0,Solar Electric,AL
112,Alabama,Cullman,AL-04,35179,Solar,RBS,2011,Rural Energy for America Program (REAP),1,143308.0,Solar Electric,AL
113,Alabama,Cullman,AL-04,35540,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,AL
114,Alabama,DeKalb,AL-04,35968,Solar,RBS,2015,Rural Energy for America Program (REAP),3,101250.0,Solar Electric,AL
115,Alabama,DeKalb,AL-04,35971,Solar,RBS,2015,Rural Energy for America Program (REAP),2,69000.0,Solar Electric,AL
116,Alabama,DeKalb,AL-04,35974,Solar,RBS,2016,Rural Energy for America Program (REAP),1,61132.0,Solar Electric,AL
117,Alabama,Lawrence,AL-04,35619,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,AL
118,Alabama,Lawrence,AL-04,35650,Solar,RBS,2017,Rural Energy for America Program (REAP),1,215702.0,Solar Electric,AL
119,Alabama,Lawrence,AL-04,35650,Solar,RBS,2018,Rural Energy for America Program (REAP),1,49750.0,Solar Electric,AL
120,Alabama,Lawrence,AL-04,35651,Solar,RBS,2018,Rural Energy for America Program (REAP),1,70753.0,Solar Electric,AL
121,Alabama,Marshall,AL-04,35950,Solar,RBS,2018,Rural Energy for America Program (REAP),2,71375.0,Solar Electric,AL
122,Alabama,Marshall,AL-04,35957,Solar,RBS,2016,Rural Energy for America Program (REAP),1,32691.0,Solar Electric,AL
123,Alabama,Marshall,AL-04,35964,Solar,RBS,2018,Rural Energy for America Program (REAP),1,32500.0,Solar Electric,AL
124,Alabama,Marshall,AL-04,35976,Solar,RBS,2019,Rural Energy for America Program (REAP),1,35712.0,Solar Electric,AL
125,Alabama,Marshall,AL-04,35980,Solar,RBS,2015,Rural Energy for America Program (REAP),1,34500.0,Other,AL
126,Alabama,Marshall,AL-04,35980,Solar,RBS,2017,Rural Energy for America Program (REAP),1,32500.0,Solar Electric,AL
127,Alabama,Marshall,AL-04,35980,Solar,RBS,2018,Energy Efficiency Improvement Grant (REAP),2,40000.0,Solar Electric,AL
128,Alabama,Jackson,AL-05,35768,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,75160.0,,AL
129,Alabama,Jackson,AL-05,35966,Biomass,RBS,2011,Rural Energy for America Program (REAP),1,165308.75,Other,AL
130,Alabama,Lauderdale,AL-05,35630,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,302827.0,,AL
131,Alabama,Lauderdale,AL-05,35652,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,87075.0,,AL
132,Alabama,Limestone,AL-05,35614,Biomass,RBS,2009,Advanced Biofuel Payment Program,1,2262.11,Biofuels,AL
133,Alabama,Morgan,AL-05,35621,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,24000.0,,AL
134,Alabama,Morgan,AL-05,35640,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,17380.0,,AL
135,Alabama,Morgan,AL-05,35670,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,31721.0,,AL
136,Alabama,Jackson,AL-05,35958,Solar,RBS,2016,Rural Energy for America Program (REAP),1,23670.0,Solar Electric,AL
137,Alabama,Jackson,AL-05,35966,Solar,RBS,2016,Rural Energy for America Program (REAP),1,26250.0,Solar Electric,AL
138,Alabama,Lauderdale,AL-05,35630,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,AL
139,Alabama,Limestone,AL-05,35611,Solar,RBS,2018,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,AL
140,Alabama,Madison,AL-05,35748,Solar,RBS,2013,Rural Energy for America Program (REAP),1,40648.0,Solar Electric,AL
141,Alabama,Madison,AL-05,35748,Solar,RBS,2018,Energy Efficiency Improvement Grant (REAP),1,14080.75,Solar Electric,AL
142,Alabama,Morgan,AL-05,35603,Solar,RBS,2019,Rural Energy for America Program (REAP),1,49795.0,Solar Electric,AL
143,Alabama,Morgan,AL-05,35640,Solar,RBS,2008,Rural Business Opportunity,1,48769.52,Solar Electric,AL
144,Alabama,Morgan,AL-05,35640,Solar,RBS,2018,Energy Efficiency Improvement Grant (REAP),1,12267.0,Solar Electric,AL
145,Alabama,Morgan,AL-05,35640,Solar,RBS,2018,Renewable Energy Systems (REAP),1,98308.0,Solar Electric,AL
146,Alabama,Bibb,AL-06,35034,Biomass,FSA,2010,BCAP Matching Payments (NOFA),7,373565.0,,AL
147,Alabama,Chilton,AL-06,35046,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,79740.0,,AL
148,Alabama,Chilton,AL-06,36006,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,32593.0,,AL
149,Alabama,Chilton,AL-06,36750,Biomass,FSA,2010,BCAP Matching Payments (NOFA),8,924170.0,,AL
150,Alabama,Chilton,AL-06,36790,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,206360.0,,AL
151,Alabama,Jefferson,AL-06,35146,Biomass,FS,2006,Woody Biomass Utilization Grant,1,243500.0,Woody Biomass Utilization on NFS Lands to Achieve Unmet Management Needs,AL
152,Alabama,Shelby,AL-06,35242,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,26784.0,,AL
153,Alabama,Jefferson,AL-06,35005,Solar,RBS,2015,Rural Energy for America Program (REAP),1,28296.0,Ee Buildings,AL
154,Alabama,Jefferson,AL-06,35173,Solar,RBS,2021,Rural Energy for America Program (REAP),1,23917.0,Solar Electric,AL
155,Alabama,Perry,AL-07,36701,Geothermal,RBS,2012,Energy Efficiency Improvement Grant (REAP),1,3875.0,Thermal Conversion,AL
156,Alabama,Choctaw,AL-07,36904,Biomass,FSA,2010,BCAP Matching Payments (NOFA),10,555153.0,,AL
157,Alabama,Choctaw,AL-07,36908,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,2804.0,,AL
158,Alabama,Choctaw,AL-07,36912,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,40895.0,,AL
159,Alabama,Choctaw,AL-07,36913,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,85860.0,,AL
160,Alabama,Choctaw,AL-07,36916,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,299768.0,,AL
161,Alabama,Choctaw,AL-07,36919,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,42263.0,,AL
162,Alabama,Choctaw,AL-07,36921,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,637463.0,,AL
163,Alabama,Clarke,AL-07,36446,Biomass,FSA,2010,BCAP Matching Payments (NOFA),8,504016.0,,AL
164,Alabama,Clarke,AL-07,36784,Biomass,FSA,2010,BCAP Matching Payments (NOFA),9,256869.0,,AL
165,Alabama,Dallas,AL-07,36701,Biomass,FSA,2010,BCAP Matching Payments (NOFA),10,340732.0,,AL
166,Alabama,Dallas,AL-07,36761,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,49899.0,,AL
167,Alabama,Dallas,AL-07,36775,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,152914.0,,AL
168,Alabama,Hale,AL-07,36744,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,20473.0,,AL
169,Alabama,Marengo,AL-07,36732,Biomass,FSA,2010,BCAP Matching Payments (NOFA),10,297701.0,,AL
170,Alabama,Marengo,AL-07,36738,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,30960.0,,AL
171,Alabama,Marengo,AL-07,36748,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,174624.0,,AL
172,Alabama,Marengo,AL-07,36782,Biomass,FSA,2010,BCAP Matching Payments (NOFA),8,286482.0,,AL
173,Alabama,Marengo,AL-07,36783,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,17110.0,,AL
174,Alabama,Marengo,AL-07,36784,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,11067.0,,AL
175,Alabama,Perry,AL-07,36756,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,74880.0,,AL
176,Alabama,Pickens,AL-07,35442,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,22623.0,,AL
177,Alabama,Pickens,AL-07,35461,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,10539.0,,AL
178,Alabama,Pickens,AL-07,35481,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,911.41,Biofuels,AL
179,Alabama,Pickens,AL-07,35481,Biomass,RBS,2016,Advanced Biofuel Payment Program,1,218.53,Biofuels,AL
180,Alabama,Sumter,AL-07,36907,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,111020.0,,AL
181,Alabama,Sumter,AL-07,36925,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,23120.0,,AL
182,Alabama,Tuscaloosa,AL-07,35401,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,63805.0,,AL
183,Alabama,Tuscaloosa,AL-07,35404,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,114061.0,,AL
184,Alabama,Tuscaloosa,AL-07,35404,Biomass,RBS,2013,Advanced Biofuel Payment Program,1,7998.6,Biofuels,AL
185,Alabama,Tuscaloosa,AL-07,35404,Biomass,RBS,2014,Advanced Biofuel Payment Program,1,20292.05,Biofuels,AL
186,Alabama,Tuscaloosa,AL-07,35404,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,16367.36,Biofuels,AL
187,Alabama,Tuscaloosa,AL-07,35404,Biomass,RBS,2016,Advanced Biofuel Payment Program,1,20199.7,Biofuels,AL
188,Alabama,Tuscaloosa,AL-07,35404,Biomass,RBS,2017,Advanced Biofuel Payment Program,1,6810.63,Biofuels,AL
189,Alabama,Tuscaloosa,AL-07,35404,Biomass,RBS,2018,Advanced Biofuel Payment Program,1,7403.26,Biofuels,AL
190,Alabama,Tuscaloosa,AL-07,35405,Biomass,FSA,2010,BCAP Matching Payments (NOFA),7,924001.0,,AL
191,Alabama,Tuscaloosa,AL-07,35456,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,270415.0,,AL
192,Alabama,Tuscaloosa,AL-07,35474,Biomass,RBS,2014,Advanced Biofuel Payment Program,1,13830.59,Biofuels,AL
193,Alabama,Tuscaloosa,AL-07,35474,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,22273.39,Biofuels,AL
194,Alabama,Tuscaloosa,AL-07,35474,Biomass,RBS,2017,Advanced Biofuel Payment Program,1,21679.12,Biofuels,AL
195,Alabama,Tuscaloosa,AL-07,35474,Biomass,RBS,2018,Advanced Biofuel Payment Program,1,65077.94,Biofuels,AL
196,Alabama,Tuscaloosa,AL-07,35476,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,134679.0,,AL
197,Alabama,Tuscaloosa,AL-07,35487,Biomass,NIFA,2011,SBIR Grants,1,100000.0,Biofuels and Biobased Products,AL
198,Alabama,Wilcox,AL-07,36726,Biomass,FSA,2010,BCAP Matching Payments (NOFA),16,938720.0,,AL
199,Alabama,Wilcox,AL-07,36728,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,65049.0,,AL
200,Alabama,Wilcox,AL-07,36768,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,13600.0,,AL
201,Alabama,Wilcox,AL-07,36769,Biomass,FSA,2010,BCAP Matching Payments (NOFA),7,196562.0,,AL
202,Alabama,Tuscaloosa,AL-07,35487,Solar,NIFA,2020,AFRI Grant,1,199990.0,,AL
203,Alabama,Tuscaloosa,AL-07,35487,Solar,RBS,2017,Renewable Energy Systems (REAP),1,45838.0,Solar Electric,AL
204,Alabama,Tuscaloosa,AL-07,35487,Solar,RBS,2019,Renewable Energy Systems (REAP),1,60000.0,Solar Electric,AL
205,Alabama,Tuscaloosa,AL-07,35487,Solar,RBS,2020,Renewable Energy Systems (REAP),1,61177.0,Solar Electric,AL
206,Alabama,Wilcox,AL-07,36726,Solar,RBS,2016,Energy Efficiency Improvement Grant (REAP),1,10727.0,Solar Thermal,AL
207,Alabama,Limestone,TN-05,35611,Solar,RBS,2021,Energy Efficiency Improvement Grant (REAP),2,33063.0,Solar Electric,AL
208,Alabama,Limestone,TN-05,35613,Solar,RBS,2021,Rural Energy for America Program (REAP),1,249624.0,Solar Electric,AL
209,Alaska,Aleutians West,AK-00,99685,Hydroelectric,RUS,2004,High Energy Cost Grant,1,390000.0,,AK
210,Alaska,Anchorage,AK-00,99501,Hydroelectric,RUS,2012,High Energy Cost Grant,1,443779.0,,AK
211,Alaska,Anchorage,AK-00,99501,Hydroelectric,RUS,2019,High Energy Cost Grant,1,3000000.0,,AK
212,Alaska,Hoonah-Angoon,AK-00,99826,Hydroelectric,RUS,2006,High Energy Cost Grant,1,1500000.0,,AK
213,Alaska,Juneau,AK-00,99801,Hydroelectric,RUS,2018,High Energy Cost Grant,1,3000000.0,,AK
214,Alaska,Kodiak Island,AK-00,99615,Hydroelectric,RUS,2007,Electric Program,1,38000000.0,,AK
215,Alaska,Lake and Peninsula,AK-00,99606,Hydroelectric,RUS,2018,High Energy Cost Grant,1,1333738.0,,AK
216,Alaska,Lake and Peninsula,AK-00,99606,Hydroelectric,RUS,2019,High Energy Cost Grant,1,999897.0,,AK
217,Alaska,Prince of Wales-Hyder,AK-00,99922,Hydroelectric,RBS,2018,Rural Energy for America Program (REAP),1,172640.0,Hydro Electric,AK
218,Alaska,Sitka,AK-00,99835,Hydroelectric,RUS,2021,Electric Program,1,4000000.0,,AK
219,Alaska,Valdez-Cordova,AK-00,99574,Hydroelectric,RUS,2006,High Energy Cost Grant,1,1037500.0,,AK
220,Alaska,Anchorage,AK-00,99501,Biomass,RBS,2007,Rural Business Opportunity,2,150000.0,Thermal Conversion,AK
221,Alaska,Anchorage,AK-00,99503,Biomass,FS,2013,SWET Cooperative Agreement,1,225000.0,Alaska Wood Energy Team,AK
222,Alaska,Anchorage,AK-00,99503,Biomass,FS,2013,Wood Innovations Grants,1,225000.0,,AK
