State,Year,Population
Minnesota,2018,5606249
Minnesota,2019,5639632
Minnesota,2020,5707165
Minnesota,2021,5707390
Mississippi,2002,2858076
Mississippi,2003,2866386
Mississippi,2004,2884920
Mississippi,2005,2899300
Mississippi,2006,2896691
Mississippi,2007,2920312
Mississippi,2008,2939234
Mississippi,2009,2949943
Mississippi,2010,2960467
Mississippi,2011,2978731
Mississippi,2012,2983816
Mississippi,2013,2988711
Mississippi,2014,2990468
Mississippi,2015,2988471
Mississippi,2016,2987938
Mississippi,2017,2988510
Mississippi,2018,2981020
Mississippi,2019,2976149
Mississippi,2020,2956870
Mississippi,2021,2949965
Missouri,2002,5679158
Missouri,2003,5713051
Missouri,2004,5755931
Missouri,2005,5803587
Missouri,2006,5857974
Missouri,2007,5905750
Missouri,2008,5951844
Missouri,2009,5982234
Missouri,2010,6011741
Missouri,2011,6010275
Missouri,2012,6024367
Missouri,2013,6040715
Missouri,2014,6056202
Missouri,2015,6071732
Missouri,2016,6087135
Missouri,2017,6106670
Missouri,2018,6121623
Missouri,2019,6137428
Missouri,2020,6154481
Missouri,2021,6168187
Montana,2002,909722
Montana,2003,916620
Montana,2004,925711
Montana,2005,934656
Montana,2006,946059
Montana,2007,957123
Montana,2008,967717
Montana,2009,974163
Montana,2010,980152
Montana,2011,997316
Montana,2012,1003783
Montana,2013,1013569
Montana,2014,1021869
Montana,2015,1030475
Montana,2016,1040859
Montana,2017,1052482
Montana,2018,1060665
Montana,2019,1068778
Montana,2020,1086193
Montana,2021,1104271
Nebraska,2002,1724577
Nebraska,2003,1733099
Nebraska,2004,1741417
Nebraska,2005,1750772
Nebraska,2006,1759327
Nebraska,2007,1768745
Nebraska,2008,1780143
Nebraska,2009,1794852
Nebraska,2010,1811072
Nebraska,2011,1840672
Nebraska,2012,1853303
Nebraska,2013,1865279
Nebraska,2014,1879321
Nebraska,2015,1891277
Nebraska,2016,1905616
Nebraska,2017,1915947
Nebraska,2018,1925614
Nebraska,2019,1934408
Nebraska,2020,1961455
Nebraska,2021,1963692
Nevada,2002,2165828
Nevada,2003,2236378
Nevada,2004,2327547
Nevada,2005,2407073
Nevada,2006,2491122
Nevada,2007,2564816
Nevada,2008,2612460
Nevada,2009,2638588
Nevada,2010,2654751
Nevada,2011,2712730
Nevada,2012,2743996
Nevada,2013,2775970
Nevada,2014,2817628
Nevada,2015,2866939
Nevada,2016,2917563
Nevada,2017,2969905
Nevada,2018,3027341
Nevada,2019,3080156
Nevada,2020,3114071
Nevada,2021,3143991
New Hampshire,2002,1270962
New Hampshire,2003,1282146
New Hampshire,2004,1292566
New Hampshire,2005,1301050
New Hampshire,2006,1311184
New Hampshire,2007,1316496
New Hampshire,2008,1320981
New Hampshire,2009,1322181
New Hampshire,2010,1323531
New Hampshire,2011,1320202
New Hampshire,2012,1324232
New Hampshire,2013,1326622
New Hampshire,2014,1333341
New Hampshire,2015,1336350
New Hampshire,2016,1342307
New Hampshire,2017,1348787
New Hampshire,2018,1353465
New Hampshire,2019,1359711
New Hampshire,2020,1377848
New Hampshire,2021,1388992
New Jersey,2002,8543281
New Jersey,2003,8585567
New Jersey,2004,8610474
New Jersey,2005,8619564
New Jersey,2006,8619354
New Jersey,2007,8630810
New Jersey,2008,8657319
New Jersey,2009,8693723
New Jersey,2010,8732811
New Jersey,2011,8828117
New Jersey,2012,8844942
New Jersey,2013,8856972
New Jersey,2014,8864525
New Jersey,2015,8867949
New Jersey,2016,8870827
New Jersey,2017,8885525
New Jersey,2018,8886025
New Jersey,2019,8882190
New Jersey,2020,9279743
New Jersey,2021,9267130
New Mexico,2002,1849187
New Mexico,2003,1868121
New Mexico,2004,1890215
New Mexico,2005,1914699
New Mexico,2006,1940631
New Mexico,2007,1966357
New Mexico,2008,1984179
New Mexico,2009,2007315
New Mexico,2010,2033875
New Mexico,2011,2080450
New Mexico,2012,2087309
New Mexico,2013,2092273
New Mexico,2014,2089568
New Mexico,2015,2089291
New Mexico,2016,2091630
New Mexico,2017,2091784
New Mexico,2018,2092741
New Mexico,2019,2096829
New Mexico,2020,2117566
New Mexico,2021,2115877
New York,2002,19161568
New York,2003,19235015
New York,2004,19297907
New York,2005,19329398
New York,2006,19353588
New York,2007,19419540
New York,2008,19464482
New York,2009,19522612
New York,2010,19577730
New York,2011,19499241
New York,2012,19572932
New York,2013,19624447
New York,2014,19651049
New York,2015,19654666
New York,2016,19633428
New York,2017,19589572
New York,2018,19530351
New York,2019,19453561
New York,2020,20154933
New York,2021,19835913
North Carolina,2002,8311105
North Carolina,2003,8399815
North Carolina,2004,8517909
North Carolina,2005,8655414
North Carolina,2006,8853849
North Carolina,2007,9047856
North Carolina,2008,9230086
North Carolina,2009,9357107
North Carolina,2010,9458888
North Carolina,2011,9657592
North Carolina,2012,9749476
North Carolina,2013,9843336
North Carolina,2014,9932887
North Carolina,2015,10031646
North Carolina,2016,10154788
North Carolina,2017,10268233
North Carolina,2018,10381615
North Carolina,2019,10488084
North Carolina,2020,10457177
North Carolina,2021,10551162
North Dakota,2002,633210
North Dakota,2003,631680
North Dakota,2004,635480
North Dakota,2005,634528
North Dakota,2006,636019
North Dakota,2007,637534
North Dakota,2008,640525
North Dakota,2009,645903
North Dakota,2010,653778
North Dakota,2011,685225
North Dakota,2012,701176
North Dakota,2013,722036
North Dakota,2014,737401
North Dakota,2015,754066
North Dakota,2016,754434
North Dakota,2017,754942
North Dakota,2018,758080
North Dakota,2019,762062
North Dakota,2020,778962
North Dakota,2021,774948
Northeast Region,2011,55604223
Northeast Region,2012,55775216
Northeast Region,2013,55901806
Northeast Region,2014,56006011
Northeast Region,2015,56034684
Northeast Region,2016,56042330
Northeast Region,2017,56059240
Northeast Region,2018,56046620
Northeast Region,2019,55982803
Northeast Region,2020,57525633
Northeast Region,2021,57159838
Ohio,2002,11420660
Ohio,2003,11450398
Ohio,2004,11465854
Ohio,2005,11475559
Ohio,2006,11490596
Ohio,2007,11518989
Ohio,2008,11526691
Ohio,2009,11531860
Ohio,2010,11532111
Ohio,2011,11544663
Ohio,2012,11548923
Ohio,2013,11576684
Ohio,2014,11602700
Ohio,2015,11617527
Ohio,2016,11634370
Ohio,2017,11659650
Ohio,2018,11676341
Ohio,2019,11689100
Ohio,2020,11790587
Ohio,2021,11780017
Oklahoma,2002,3483149
Oklahoma,2003,3495502
Oklahoma,2004,3511467
Oklahoma,2005,3530037
Oklahoma,2006,3571612
Oklahoma,2007,3608759
Oklahoma,2008,3640241
Oklahoma,2009,3685640
Oklahoma,2010,3724447
Oklahoma,2011,3788379
Oklahoma,2012,3818814
Oklahoma,2013,3853214
Oklahoma,2014,3878187
Oklahoma,2015,3909500
Oklahoma,2016,3926331
Oklahoma,2017,3931316
Oklahoma,2018,3940235
Oklahoma,2019,3956971
Oklahoma,2020,3962031
Oklahoma,2021,3986639
Oregon,2002,3516661
Oregon,2003,3551290
Oregon,2004,3573214
Oregon,2005,3617086
Oregon,2006,3675743
Oregon,2007,3730833
Oregon,2008,3780596
Oregon,2009,3823058
Oregon,2010,3855536
Oregon,2011,3872036
Oregon,2012,3899001
Oregon,2013,3922468
Oregon,2014,3963244
Oregon,2015,4015792
Oregon,2016,4089976
Oregon,2017,4143625
Oregon,2018,4181886
Oregon,2019,4217737
Oregon,2020,4241544
Oregon,2021,4246155
Pennsylvania,2002,12324237
Pennsylvania,2003,12360988
Pennsylvania,2004,12387357
Pennsylvania,2005,12415908
Pennsylvania,2006,12466485
Pennsylvania,2007,12517701
Pennsylvania,2008,12562536
Pennsylvania,2009,12602112
Pennsylvania,2010,12632780
Pennsylvania,2011,12745815
Pennsylvania,2012,12767118
Pennsylvania,2013,12776309
Pennsylvania,2014,12788313
Pennsylvania,2015,12784826
Pennsylvania,2016,12782275
Pennsylvania,2017,12787641
Pennsylvania,2018,12800922
Pennsylvania,2019,12801989
Pennsylvania,2020,12989625
Pennsylvania,2021,12964056
Puerto Rico,2011,3678732
Puerto Rico,2012,3634488
Puerto Rico,2013,3593077
Puerto Rico,2014,3534874
Puerto Rico,2015,3473232
Puerto Rico,2016,3406672
Puerto Rico,2017,3325286
Puerto Rico,2018,3193354
Puerto Rico,2019,3193694
Puerto Rico,2020,3281538
Puerto Rico,2021,3263584
Rhode Island,2002,1066919
Rhode Island,2003,1072453
Rhode Island,2004,1075835
Rhode Island,2005,1069226
Rhode Island,2006,1064193
Rhode Island,2007,1059706
Rhode Island,2008,1058368
Rhode Island,2009,1057451
Rhode Island,2010,1056870
Rhode Island,2011,1053649
Rhode Island,2012,1054621
Rhode Island,2013,1055081
Rhode Island,2014,1055936
Rhode Island,2015,1056065
Rhode Island,2016,1056770
Rhode Island,2017,1055673
Rhode Island,2018,1058287
Rhode Island,2019,1059361
Rhode Island,2020,1096229
Rhode Island,2021,1095610
South Carolina,2002,4102227
South Carolina,2003,4141080
South Carolina,2004,4196549
South Carolina,2005,4250989
South Carolina,2006,4334146
South Carolina,2007,4417059
South Carolina,2008,4497746
South Carolina,2009,4554258
South Carolina,2010,4596958
South Carolina,2011,4671994
South Carolina,2012,4717354
South Carolina,2013,4764080
South Carolina,2014,4823617
South Carolina,2015,4891938
South Carolina,2016,4957968
South Carolina,2017,5021268
South Carolina,2018,5084156
South Carolina,2019,5148714
South Carolina,2020,5130729
South Carolina,2021,5190705
South Dakota,2002,761633
South Dakota,2003,765980
South Dakota,2004,773087
South Dakota,2005,778775
South Dakota,2006,786973
South Dakota,2007,795521
South Dakota,2008,803047
South Dakota,2009,810814
South Dakota,2010,820077
South Dakota,2011,823579
South Dakota,2012,833566
South Dakota,2013,842316
South Dakota,2014,849129
South Dakota,2015,853988
South Dakota,2016,862996
South Dakota,2017,872868
South Dakota,2018,878698
South Dakota,2019,884659
South Dakota,2020,887099
South Dakota,2021,895376
South Region,2011,116006522
South Region,2012,117241208
South Region,2013,118364400
South Region,2014,119624037
South Region,2015,120997341
South Region,2016,122351760
South Region,2017,123542189
South Region,2018,124569433
South Region,2019,125580448
South Region,2020,126409007
South Region,2021,127225329
Tennessee,2002,5802304
Tennessee,2003,5856712
Tennessee,2004,5918897
Tennessee,2005,5997481
Tennessee,2006,6090290
Tennessee,2007,6172788
Tennessee,2008,6239542
Tennessee,2009,6291220
Tennessee,2010,6338112
Tennessee,2011,6399291
Tennessee,2012,6453898
Tennessee,2013,6494340
Tennessee,2014,6541223
Tennessee,2015,6591170
Tennessee,2016,6646010
Tennessee,2017,6708799
Tennessee,2018,6771631
Tennessee,2019,6829174
Tennessee,2020,6920119
Tennessee,2021,6975218
Texas,2002,21705766
Texas,2003,22048452
Texas,2004,22408514
Texas,2005,22790696
Texas,2006,23356591
Texas,2007,23824518
Texas,2008,24290611
Texas,2009,24770651
Texas,2010,25213445
Texas,2011,25645629
Texas,2012,26084481
Texas,2013,26480266
Texas,2014,26964333
Texas,2015,27470056
Texas,2016,27914410
Texas,2017,28295273
Texas,2018,28628666
Texas,2019,28995881
Texas,2020,29217653
Texas,2021,29527941
United States,2011,311556874
United States,2012,313830990
United States,2013,315993715
United States,2014,318301008
United States,2015,320635163
United States,2016,322941311
United States,2017,324985539
United States,2018,326687501
United States,2019,328239523
United States,2020,331501080
United States,2021,331893745
Utah,2002,2334425
Utah,2003,2378255
Utah,2004,2438195
Utah,2005,2498863
Utah,2006,2582234
Utah,2007,2662908
Utah,2008,2724685
Utah,2009,2780871
Utah,2010,2830753
Utah,2011,2814384
Utah,2012,2853375
Utah,2013,2897640
Utah,2014,2936879
Utah,2015,2981835
Utah,2016,3041868
Utah,2017,3101042
Utah,2018,3153550
Utah,2019,3205958
Utah,2020,3281684
Utah,2021,3337975
Vermont,2002,614753
Vermont,2003,616700
Vermont,2004,618120
Vermont,2005,618797
Vermont,2006,619916
Vermont,2007,620438
Vermont,2008,620967
Vermont,2009,621436
Vermont,2010,622433
Vermont,2011,627049
Vermont,2012,626090
Vermont,2013,626210
Vermont,2014,625214
Vermont,2015,625216
Vermont,2016,623657
Vermont,2017,624344
Vermont,2018,624358
Vermont,2019,623989
Vermont,2020,642495
Vermont,2021,645570
Virginia,2002,7277452
Virginia,2003,7352164
Virginia,2004,7453994
Virginia,2005,7547753
Virginia,2006,7633859
Virginia,2007,7705466
Virginia,2008,7780691
Virginia,2009,7862480
Virginia,2010,7952119
Virginia,2011,8101155
Virginia,2012,8185080
Virginia,2013,8252427
Virginia,2014,8310993
Virginia,2015,8361808
Virginia,2016,8410106
Virginia,2017,8463587
Virginia,2018,8501286
Virginia,2019,8535519
Virginia,2020,8632044
Virginia,2021,8642274
Washington,2002,6056348
Washington,2003,6108738
Washington,2004,6181646
Washington,2005,6258988
Washington,2006,6371097
Washington,2007,6464167
Washington,2008,6566085
Washington,2009,6671597
Washington,2010,6746199
Washington,2011,6826627
Washington,2012,6897058
Washington,2013,6963985
Washington,2014,7054655
Washington,2015,7163657
Washington,2016,7294771
Washington,2017,7423362
Washington,2018,7523869
Washington,2019,7614893
Washington,2020,7718785
Washington,2021,7738692
West Region,2011,72788329
West Region,2012,73477823
West Region,2013,74167130
West Region,2014,74925793
West Region,2015,75742555
West Region,2016,76559681
West Region,2017,77257329
West Region,2018,77834820
West Region,2019,78347268
West Region,2020,78631266
West Region,2021,78667134
West Virginia,2002,1799219
West Virginia,2003,1802916
West Virginia,2004,1803462
West Virginia,2005,1804128
West Virginia,2006,1808136
West Virginia,2007,1812295
West Virginia,2008,1816352
West Virginia,2009,1821290
West Virginia,2010,1825513
West Virginia,2011,1856301
West Virginia,2012,1856872
West Virginia,2013,1853914
West Virginia,2014,1849489
West Virginia,2015,1842050
West Virginia,2016,1831023
West Virginia,2017,1817004
West Virginia,2018,1804291
West Virginia,2019,1792147
West Virginia,2020,1789798
West Virginia,2021,1782959
Wisconsin,2002,5446571
Wisconsin,2003,5479542
Wisconsin,2004,5512205
Wisconsin,2005,5542096
Wisconsin,2006,5571510
Wisconsin,2007,5601508
Wisconsin,2008,5627257
Wisconsin,2009,5650751
Wisconsin,2010,5668519
Wisconsin,2011,5705288
Wisconsin,2012,5719960
Wisconsin,2013,5736754
Wisconsin,2014,5751525
Wisconsin,2015,5760940
Wisconsin,2016,5772628
Wisconsin,2017,5790186
Wisconsin,2018,5807406
Wisconsin,2019,5822434
Wisconsin,2020,5892323
Wisconsin,2021,5895908
Wyoming,2002,496930
Wyoming,2003,498865
Wyoming,2004,502742
Wyoming,2005,506002
Wyoming,2006,512664
Wyoming,2007,523226
Wyoming,2008,532626
Wyoming,2009,544391
Wyoming,2010,547637
Wyoming,2011,567299
Wyoming,2012,576305
Wyoming,2013,582122
Wyoming,2014,582531
Wyoming,2015,585613
Wyoming,2016,584215
Wyoming,2017,578931
Wyoming,2018,577601
Wyoming,2019,578759
Wyoming,2020,577267
Wyoming,2021,578803
